,dataset,rewiring,num_iterations,avg_accuracy,ci
0,cora,edge_rewire,0,0.8616297786720323,0.003059332151976576
0,cora,sdrf,25,0.8613480885311869,0.0028738677882945204
0,cora,edge_rewire,50,0.8637424547283704,0.0032563662746392607
0,cora,sdrf,50,0.8620321931589539,0.003178440198555587
0,cora,sdrf,100,0.8653722334004024,0.0027174719870610483
0,cora,sdrf,200,0.8632595573440643,0.0030118889634972628
0,cora,edge_rewire,25,0.8619517102615695,0.002848852994794484
0,cora,edge_rewire,100,0.8618712273641852,0.002803287019611034
0,cora,edge_rewire,200,0.8623742454728371,0.0023629647091997093
0,cora,edge_rewire,25,0.8606841046277667,0.0028523892782455896
0,cora,edge_rewire,0,0.7518913480885311,0.008904132336356207
0,cora,edge_rewire,0,0.860503018108652,0.0028255429393088454
0,cora,sdrf,25,0.8600402414486923,0.0028020996567551144
0,cora,edge_rewire,50,0.8611670020120725,0.002826084485485623
0,cora,sdrf,50,0.8651710261569417,0.0028016228366732274
0,cora,sdrf,200,0.8592152917505029,0.002948056232386344
0,cora,edge_rewire,200,0.8598390342052313,0.0032871229273172186
0,cora,sdrf,100,0.8603018108651911,0.002793379806248475
0,cora,sdrf,100,0.7600804828973843,0.00790723885028657
0,cora,sdrf,200,0.7604426559356138,0.00810799184496088
0,cora,edge_rewire,0,0.8616297786720323,0.003059332151976576
1,citeseer,edge_rewire,0,0.7451886792452831,0.0037045092936100984
0,cora,edge_rewire,50,0.7459154929577464,0.008962391299942111
0,cora,sdrf,50,0.7622535211267606,0.008811815119331675
0,cora,sdrf,25,0.7613682092555333,0.006472246257712021
0,cora,edge_rewire,100,0.8616700201207245,0.003024473503243647
0,cora,edge_rewire,25,0.7489738430583501,0.008146706117768764
0,cora,edge_rewire,100,0.7524346076458752,0.006504920334571463
0,cora,edge_rewire,50,0.8637424547283704,0.0032563662746392607
1,citeseer,edge_rewire,50,0.7472169811320755,0.003826503943741634
0,cora,edge_rewire,200,0.8623742454728371,0.0023629647091997093
1,citeseer,edge_rewire,200,0.745070754716981,0.0040064333944252505
0,cora,edge_rewire,200,0.7515694164989941,0.00783261422209637
0,cora,sdrf,25,0.8613480885311869,0.0028738677882945204
1,citeseer,sdrf,25,0.7422641509433962,0.0036683923142967305
0,cora,edge_rewire,25,0.8619517102615695,0.002848852994794484
1,citeseer,edge_rewire,25,0.7413207547169811,0.0036591614397495837
0,cora,edge_rewire,100,0.8618712273641852,0.002803287019611034
1,citeseer,edge_rewire,100,0.7441745283018868,0.004249188455174695
0,cora,sdrf,50,0.8620321931589539,0.003178440198555587
1,citeseer,sdrf,50,0.7416981132075472,0.004022719387543075
0,cora,edge_rewire,50,0.8611670020120725,0.002826084485485623
1,citeseer,edge_rewire,50,0.7295047169811322,0.004135743504196395
0,cora,sdrf,100,0.8653722334004024,0.0027174719870610483
1,citeseer,sdrf,100,0.7400943396226414,0.003613343019284069
0,cora,sdrf,200,0.8632595573440643,0.0030118889634972628
1,citeseer,sdrf,200,0.740424528301887,0.003985120509502581
0,cora,edge_rewire,0,0.7518913480885311,0.008904132336356207
1,citeseer,edge_rewire,0,0.6278773584905661,0.008791465852775215
0,cora,edge_rewire,0,0.860503018108652,0.0028255429393088454
1,citeseer,edge_rewire,0,0.7313679245283019,0.003577139054650341
0,cora,edge_rewire,25,0.8606841046277667,0.0028523892782455896
1,citeseer,edge_rewire,25,0.7292924528301884,0.0031653579453256647
0,cora,edge_rewire,200,0.8598390342052313,0.0032871229273172186
1,citeseer,edge_rewire,200,0.7275000000000001,0.0034812599045917136
0,cora,sdrf,25,0.8600402414486923,0.0028020996567551144
1,citeseer,sdrf,25,0.7293160377358491,0.004465890165834816
0,cora,sdrf,50,0.8651710261569417,0.0028016228366732274
1,citeseer,sdrf,50,0.7280188679245283,0.004082235826284738
0,cora,sdrf,100,0.8603018108651911,0.002793379806248475
1,citeseer,sdrf,100,0.7298584905660376,0.004072161915983858
0,cora,sdrf,100,0.7600804828973843,0.00790723885028657
1,citeseer,sdrf,100,0.6232075471698113,0.009110765718412041
0,cora,sdrf,50,0.7622535211267606,0.008811815119331675
